age_group,sex,race_ethnicity,born_in_us,ST,emigration_rate
"[0, 15)",Female,AIAN,0,1,0.00193384616509862
"[0, 15)",Female,AIAN,0,2,0.00193384616509862
"[0, 15)",Female,AIAN,0,4,0.00676846157784517
"[0, 15)",Female,AIAN,0,5,0.00193384616509862
"[0, 15)",Female,AIAN,0,6,0.027847384777420128
"[0, 15)",Female,AIAN,0,8,0.00193384616509862
"[0, 15)",Female,AIAN,0,9,0.00193384616509862
"[0, 15)",Female,AIAN,0,10,0.00193384616509862
"[0, 15)",Female,AIAN,0,11,0.00193384616509862
"[0, 15)",Female,AIAN,0,12,0.007437869865763923
"[0, 15)",Female,AIAN,0,13,0.8934369282755624
"[0, 15)",Female,AIAN,0,15,0.00193384616509862
"[0, 15)",Female,AIAN,0,16,0.00193384616509862
"[0, 15)",Female,AIAN,0,17,0.03771000021942309
"[0, 15)",Female,AIAN,0,18,0.00193384616509862
"[0, 15)",Female,AIAN,0,19,0.00193384616509862
"[0, 15)",Female,AIAN,0,20,0.00193384616509862
"[0, 15)",Female,AIAN,0,21,0.00193384616509862
"[0, 15)",Female,AIAN,0,22,0.00193384616509862
"[0, 15)",Female,AIAN,0,23,0.00193384616509862
"[0, 15)",Female,AIAN,0,24,0.02320615398118344
"[0, 15)",Female,AIAN,0,25,0.00193384616509862
"[0, 15)",Female,AIAN,0,26,0.006285000036570515
"[0, 15)",Female,AIAN,0,27,0.00193384616509862
"[0, 15)",Female,AIAN,0,28,0.00193384616509862
"[0, 15)",Female,AIAN,0,29,0.00193384616509862
"[0, 15)",Female,AIAN,0,30,0.00483461541274655
"[0, 15)",Female,AIAN,0,31,0.00193384616509862
"[0, 15)",Female,AIAN,0,32,0.00193384616509862
"[0, 15)",Female,AIAN,0,33,0.00193384616509862
"[0, 15)",Female,AIAN,0,34,0.006446153883662067
"[0, 15)",Female,AIAN,0,35,0.00193384616509862
"[0, 15)",Female,AIAN,0,36,0.015067884703060083
"[0, 15)",Female,AIAN,0,37,0.00193384616509862
"[0, 15)",Female,AIAN,0,38,0.00193384616509862
"[0, 15)",Female,AIAN,0,39,0.00193384616509862
"[0, 15)",Female,AIAN,0,40,0.00193384616509862
"[0, 15)",Female,AIAN,0,41,0.00193384616509862
"[0, 15)",Female,AIAN,0,42,0.0193384616509862
"[0, 15)",Female,AIAN,0,44,0.00193384616509862
"[0, 15)",Female,AIAN,0,45,0.00193384616509862
"[0, 15)",Female,AIAN,0,46,0.00193384616509862
"[0, 15)",Female,AIAN,0,47,0.00193384616509862
"[0, 15)",Female,AIAN,0,48,0.01344023084743541
"[0, 15)",Female,AIAN,0,49,0.00193384616509862
"[0, 15)",Female,AIAN,0,50,0.00193384616509862
"[0, 15)",Female,AIAN,0,51,0.013536923155690342
"[0, 15)",Female,AIAN,0,53,0.00580153849529586
"[0, 15)",Female,AIAN,0,54,0.00193384616509862
"[0, 15)",Female,AIAN,0,55,0.00193384616509862
"[0, 15)",Female,AIAN,0,56,0.00193384616509862
"[0, 15)",Female,AIAN,1,1,0.0009187621627288463
"[0, 15)",Female,AIAN,1,2,5.0456138083692646e-06
"[0, 15)",Female,AIAN,1,4,4.742296123457922e-05
"[0, 15)",Female,AIAN,1,5,0.00014365714369304035
"[0, 15)",Female,AIAN,1,6,0.0005427897199689339
"[0, 15)",Female,AIAN,1,8,0.0005589610148435737
"[0, 15)",Female,AIAN,1,9,0.0004130545207006761
"[0, 15)",Female,AIAN,1,10,0.002538173091691939
"[0, 15)",Female,AIAN,1,11,0.01353692315569034
"[0, 15)",Female,AIAN,1,12,0.001560330706419136
"[0, 15)",Female,AIAN,1,13,0.0012963931699364823
"[0, 15)",Female,AIAN,1,15,0.001222873310282951
"[0, 15)",Female,AIAN,1,16,6.133467314678458e-05
"[0, 15)",Female,AIAN,1,17,0.0014503846238239648
"[0, 15)",Female,AIAN,1,18,0.0009807362694428715
"[0, 15)",Female,AIAN,1,19,0.0024441666808885337
"[0, 15)",Female,AIAN,1,20,0.00025716039429502923
"[0, 15)",Female,AIAN,1,21,0.0008229132617440936
"[0, 15)",Female,AIAN,1,22,0.0008083601333209666
"[0, 15)",Female,AIAN,1,23,0.00011280769296408617
"[0, 15)",Female,AIAN,1,24,0.001987564114129137
"[0, 15)",Female,AIAN,1,25,0.0024293942449051414
"[0, 15)",Female,AIAN,1,26,0.0002699454031722837
"[0, 15)",Female,AIAN,1,27,8.003613882399209e-05
"[0, 15)",Female,AIAN,1,28,0.00010640780334274703
"[0, 15)",Female,AIAN,1,29,0.0003400619315745455
"[0, 15)",Female,AIAN,1,30,3.935914854339118e-06
"[0, 15)",Female,AIAN,1,31,0.00011233961125054226
"[0, 15)",Female,AIAN,1,32,0.001055631622232733
"[0, 15)",Female,AIAN,1,33,0.0026590384770106027
"[0, 15)",Female,AIAN,1,34,0.001439141332166415
"[0, 15)",Female,AIAN,1,35,9.659882552055627e-06
"[0, 15)",Female,AIAN,1,36,0.002483234280183455
"[0, 15)",Female,AIAN,1,37,0.000794758724165789
"[0, 15)",Female,AIAN,1,38,1.4730057840794713e-05
"[0, 15)",Female,AIAN,1,39,0.004893987882727648
"[0, 15)",Female,AIAN,1,40,1.388017616074664e-05
"[0, 15)",Female,AIAN,1,41,0.00015478810261184382
"[0, 15)",Female,AIAN,1,42,0.001252914416824458
"[0, 15)",Female,AIAN,1,44,0.0010743589806103443
"[0, 15)",Female,AIAN,1,45,0.001032255723262101
"[0, 15)",Female,AIAN,1,46,0.0001417186745340593
"[0, 15)",Female,AIAN,1,47,0.0004984758748546132
"[0, 15)",Female,AIAN,1,48,0.0013150153922670616
"[0, 15)",Female,AIAN,1,49,0.00011524941792001876
"[0, 15)",Female,AIAN,1,50,0.0016575824272273883
"[0, 15)",Female,AIAN,1,51,0.0034630560402173654
"[0, 15)",Female,AIAN,1,53,0.0007225275632592876
"[0, 15)",Female,AIAN,1,54,0.0029007692476479305
"[0, 15)",Female,AIAN,1,55,9.392087266800621e-05
"[0, 15)",Female,AIAN,1,56,8.830347785838447e-06
"[0, 15)",Female,Asian,0,1,0.005584064445587538
"[0, 15)",Female,Asian,0,2,0.0023413922577433703
"[0, 15)",Female,Asian,0,4,0.007658560634657685
"[0, 15)",Female,Asian,0,5,0.005220233546858477
"[0, 15)",Female,Asian,0,6,0.005371402014902625
"[0, 15)",Female,Asian,0,8,0.00550264418848
"[0, 15)",Female,Asian,0,9,0.004726743669257276
"[0, 15)",Female,Asian,0,10,0.005474272221202246
"[0, 15)",Female,Asian,0,11,0.04131636198676916
"[0, 15)",Female,Asian,0,12,0.014129834011406482
"[0, 15)",Female,Asian,0,13,0.00559972812599358
"[0, 15)",Female,Asian,0,15,0.0030561968159088172
"[0, 15)",Female,Asian,0,16,0.00970642017482192
"[0, 15)",Female,Asian,0,17,0.005798107662359553
"[0, 15)",Female,Asian,0,18,0.007536227368764922
"[0, 15)",Female,Asian,0,19,0.011381064439915744
"[0, 15)",Female,Asian,0,20,0.016662919466743333
"[0, 15)",Female,Asian,0,21,0.003467586227073388
"[0, 15)",Female,Asian,0,22,0.005100109547277038
"[0, 15)",Female,Asian,0,23,0.005101352814829119
"[0, 15)",Female,Asian,0,24,0.007138437574153048
"[0, 15)",Female,Asian,0,25,0.011675168180343764
"[0, 15)",Female,Asian,0,26,0.00990354003738279
"[0, 15)",Female,Asian,0,27,0.0022332326337654194
"[0, 15)",Female,Asian,0,28,0.008652077972421747
"[0, 15)",Female,Asian,0,29,0.010936622996778528
"[0, 15)",Female,Asian,0,30,0.034809230971775164
"[0, 15)",Female,Asian,0,31,0.006298504548896623
"[0, 15)",Female,Asian,0,32,0.0036662500213328008
"[0, 15)",Female,Asian,0,33,0.003203834691432042
"[0, 15)",Female,Asian,0,34,0.003964079340230347
"[0, 15)",Female,Asian,0,35,0.010169363454397916
"[0, 15)",Female,Asian,0,36,0.007310411387948419
"[0, 15)",Female,Asian,0,37,0.0057278595021759224
"[0, 15)",Female,Asian,0,38,0.004813364355987225
"[0, 15)",Female,Asian,0,39,0.007731101501667795
"[0, 15)",Female,Asian,0,40,0.00704768000810005
"[0, 15)",Female,Asian,0,41,0.0075709861049722245
"[0, 15)",Female,Asian,0,42,0.007085934656615526
"[0, 15)",Female,Asian,0,44,0.006380420077611564
"[0, 15)",Female,Asian,0,45,0.013993274703996325
"[0, 15)",Female,Asian,0,46,0.0056514987066244166
"[0, 15)",Female,Asian,0,47,0.006119842367190973
"[0, 15)",Female,Asian,0,48,0.007205794460901567
"[0, 15)",Female,Asian,0,49,0.008825370680722793
"[0, 15)",Female,Asian,0,50,0.009991538519676204
"[0, 15)",Female,Asian,0,51,0.0063106165858558836
"[0, 15)",Female,Asian,0,53,0.004529729756086858
"[0, 15)",Female,Asian,0,54,0.013762538541618512
"[0, 15)",Female,Asian,0,55,0.00439157707726409
"[0, 15)",Female,Asian,0,56,0.021393173201403486
"[0, 15)",Female,Asian,1,1,8.262093095214398e-05
"[0, 15)",Female,Asian,1,2,3.908837993284445e-05
"[0, 15)",Female,Asian,1,4,8.49597687595628e-05
"[0, 15)",Female,Asian,1,5,4.701740147702776e-05
"[0, 15)",Female,Asian,1,6,5.5641096987637734e-05
"[0, 15)",Female,Asian,1,8,5.472175480524659e-05
"[0, 15)",Female,Asian,1,9,4.410933629876805e-05
"[0, 15)",Female,Asian,1,10,2.637062952407209e-05
"[0, 15)",Female,Asian,1,11,0.00042974359224413775
"[0, 15)",Female,Asian,1,12,0.00011519809759253776
"[0, 15)",Female,Asian,1,13,7.089120639321455e-05
"[0, 15)",Female,Asian,1,15,1.4978614833405633e-05
"[0, 15)",Female,Asian,1,16,0.00021975524603393408
"[0, 15)",Female,Asian,1,17,3.8239132526754434e-05
"[0, 15)",Female,Asian,1,18,5.065106200523165e-05
"[0, 15)",Female,Asian,1,19,4.512307718563446e-05
"[0, 15)",Female,Asian,1,20,4.8670624960535735e-05
"[0, 15)",Female,Asian,1,21,7.385268240122029e-05
"[0, 15)",Female,Asian,1,22,5.217976987325571e-05
"[0, 15)",Female,Asian,1,23,0.00011510989077967977
"[0, 15)",Female,Asian,1,24,4.7821580666077404e-05
"[0, 15)",Female,Asian,1,25,6.820446689810187e-05
"[0, 15)",Female,Asian,1,26,4.547198169930207e-05
"[0, 15)",Female,Asian,1,27,1.6985155981645214e-05
"[0, 15)",Female,Asian,1,28,8.033782288243525e-05
"[0, 15)",Female,Asian,1,29,5.468663335729704e-05
"[0, 15)",Female,Asian,1,30,0.00022900809849852075
"[0, 15)",Female,Asian,1,31,7.386217991696118e-05
"[0, 15)",Female,Asian,1,32,2.2088219601359526e-05
"[0, 15)",Female,Asian,1,33,2.158310452118995e-05
"[0, 15)",Female,Asian,1,34,3.262868015186972e-05
"[0, 15)",Female,Asian,1,35,0.00014284090992205717
"[0, 15)",Female,Asian,1,36,4.035675927633176e-05
"[0, 15)",Female,Asian,1,37,8.406796121696284e-05
"[0, 15)",Female,Asian,1,38,0.0001235916722055509
"[0, 15)",Female,Asian,1,39,0.00042530198615689746
"[0, 15)",Female,Asian,1,40,6.920717359759888e-05
"[0, 15)",Female,Asian,1,41,0.00021203908112496126
"[0, 15)",Female,Asian,1,42,7.299718897616121e-05
"[0, 15)",Female,Asian,1,44,7.463967654766605e-05
"[0, 15)",Female,Asian,1,45,9.040785948579637e-05
"[0, 15)",Female,Asian,1,46,7.133039133560483e-05
"[0, 15)",Female,Asian,1,47,5.286773688758817e-05
"[0, 15)",Female,Asian,1,48,6.676742410199898e-05
"[0, 15)",Female,Asian,1,49,0.00025707217460573423
"[0, 15)",Female,Asian,1,50,0.0005640384648204308
"[0, 15)",Female,Asian,1,51,9.295282672020992e-05
"[0, 15)",Female,Asian,1,53,4.3763510441503357e-05
"[0, 15)",Female,Asian,1,54,0.00014013378007961017
"[0, 15)",Female,Asian,1,55,4.321222468137548e-05
"[0, 15)",Female,Asian,1,56,0.00013813186893561573
"[0, 15)",Female,Black,0,1,0.0035856730977870243
"[0, 15)",Female,Black,0,2,0.0011280769296408617
"[0, 15)",Female,Black,0,4,0.006299921689078993
"[0, 15)",Female,Black,0,5,0.013633615463945273
"[0, 15)",Female,Black,0,6,0.004895742734057139
"[0, 15)",Female,Black,0,8,0.005325207655219945
"[0, 15)",Female,Black,0,9,0.0016224641554640966
"[0, 15)",Female,Black,0,10,0.001034777333956279
"[0, 15)",Female,Black,0,11,0.002091711158167895
"[0, 15)",Female,Black,0,12,0.0021097307111930556
"[0, 15)",Female,Black,0,13,0.0029218220052773082
"[0, 15)",Female,Black,0,15,0.017017846252867858
"[0, 15)",Female,Black,0,16,0.005005248897902311
"[0, 15)",Female,Black,0,17,0.004915396328503833
"[0, 15)",Female,Black,0,18,0.005340390563618496
"[0, 15)",Female,Black,0,19,0.0007973678500643598
"[0, 15)",Female,Black,0,20,0.0095193202700591
"[0, 15)",Female,Black,0,21,0.0031994327480492604
