age_group,sex,race_ethnicity,born_in_us,ST,emigration_rate
"[0, 15)",Female,AIAN,0,1,0.001045344129830574
"[0, 15)",Female,AIAN,0,2,0.0022300674769718917
"[0, 15)",Female,AIAN,0,4,0.000696896086553716
"[0, 15)",Female,AIAN,0,5,0.0008362753038644592
"[0, 15)",Female,AIAN,0,6,0.022459965303788326
"[0, 15)",Female,AIAN,0,8,0.0008362753038644592
"[0, 15)",Female,AIAN,0,9,0.005017651823186755
"[0, 15)",Female,AIAN,0,10,0.0008362753038644592
"[0, 15)",Female,AIAN,0,11,0.0008362753038644592
"[0, 15)",Female,AIAN,0,12,0.002584850939217419
"[0, 15)",Female,AIAN,0,13,0.001951309042350405
"[0, 15)",Female,AIAN,0,15,0.0008362753038644592
"[0, 15)",Female,AIAN,0,16,0.0004181376519322296
"[0, 15)",Female,AIAN,0,17,0.0033451012154578365
"[0, 15)",Female,AIAN,0,18,0.0016725506077289185
"[0, 15)",Female,AIAN,0,19,0.0008362753038644592
"[0, 15)",Female,AIAN,0,20,0.0008362753038644592
"[0, 15)",Female,AIAN,0,21,0.0008362753038644592
"[0, 15)",Female,AIAN,0,22,0.0008362753038644592
"[0, 15)",Female,AIAN,0,23,0.0016725506077289185
"[0, 15)",Female,AIAN,0,24,0.001170785425410243
"[0, 15)",Female,AIAN,0,25,0.01003530364637351
"[0, 15)",Female,AIAN,0,26,0.0036238596500793234
"[0, 15)",Female,AIAN,0,27,0.0011150337384859459
"[0, 15)",Female,AIAN,0,28,0.0
"[0, 15)",Female,AIAN,0,29,0.0025088259115933773
"[0, 15)",Female,AIAN,0,30,0.0
"[0, 15)",Female,AIAN,0,31,0.0008362753038644592
"[0, 15)",Female,AIAN,0,32,0.0025088259115933773
"[0, 15)",Female,AIAN,0,33,0.0008362753038644592
"[0, 15)",Female,AIAN,0,34,0.0033451012154578365
"[0, 15)",Female,AIAN,0,35,0.0008362753038644592
"[0, 15)",Female,AIAN,0,36,0.001415235129616777
"[0, 15)",Female,AIAN,0,37,0.0008362753038644592
"[0, 15)",Female,AIAN,0,38,0.0008362753038644592
"[0, 15)",Female,AIAN,0,39,0.001393792173107432
"[0, 15)",Female,AIAN,0,40,0.0008362753038644592
"[0, 15)",Female,AIAN,0,41,0.0016725506077289185
"[0, 15)",Female,AIAN,0,42,0.002787584346214864
"[0, 15)",Female,AIAN,0,44,0.0008362753038644592
"[0, 15)",Female,AIAN,0,45,0.0008362753038644592
"[0, 15)",Female,AIAN,0,46,0.0008362753038644592
"[0, 15)",Female,AIAN,0,47,0.0008362753038644592
"[0, 15)",Female,AIAN,0,48,0.011429095819480943
"[0, 15)",Female,AIAN,0,49,0.0008362753038644592
"[0, 15)",Female,AIAN,0,50,0.0008362753038644592
"[0, 15)",Female,AIAN,0,51,0.004181376519322296
"[0, 15)",Female,AIAN,0,53,0.0012544129557966889
"[0, 15)",Female,AIAN,0,54,0.0008362753038644592
"[0, 15)",Female,AIAN,0,55,0.0004181376519322296
"[0, 15)",Female,AIAN,0,56,0.0008362753038644592
"[0, 15)",Female,AIAN,1,1,0.00012123517718745115
"[0, 15)",Female,AIAN,1,2,1.7302247666161225e-05
"[0, 15)",Female,AIAN,1,4,0.0004091523455207926
"[0, 15)",Female,AIAN,1,5,0.00011031716774382227
